controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision,minimum_clearance_m,minimum_ttc_s,critical_beam_index,critical_beam_angle_rad,critical_scan_range_m,critical_side_distance_m,termination_reason
Pure Pursuit,0.10999999999999999,8.914924842519492,-20.2061432096612,0.28888366911729985,4.90148584576068,8.0,-0.0013225341665851487,0.8,0.014290754716872038,0.0006784020779910804,0.13020000000096843,0,not_applicable,0.0,0,0,0.8675566918055154,nan,911,1.6182113067655237,1.0227310891423531,0.15517439733683772,running
Pure Pursuit,0.21000000000000005,8.92330724054432,-20.250913913988075,0.5973968804074414,4.899367969853941,8.0,-0.0010249487906728943,1.0888836691172998,0.05983931313317834,0.0027962779847303665,0.07769999999851507,0,not_applicable,0.0,0,0,0.8786791307202032,6.091301148535606,746,0.8994902687673774,1.2924895621697379,0.19795406078248534,running
Pure Pursuit,0.3100000000000001,8.937279346887042,-20.32602553391643,0.905910091697583,4.898539815151321,8.0,1.5169086340620041e-05,1.3973968804074415,0.06373652640908709,0.002420011778639264,0.08230000000253312,0,not_applicable,0.19997074926651615,0,0,0.8670211856466453,2.945579285583625,728,0.8210843373493977,1.410876994523608,0.21178185999974475,running
Pure Pursuit,0.4100000000000002,8.957736662442832,-20.431307367303546,1.2144233029877245,4.902044127636657,8.0,0.0005466977998511794,1.7059100916975831,0.04351984237679579,0.0010843007066974053,0.08300000000005525,0,not_applicable,0.19997074926651615,0,0,0.8621224261980309,1.921940863803021,735,0.8515755329008341,1.35306759415691,0.20602954162158948,running
Pure Pursuit,0.5100000000000002,8.983669793211192,-20.56695153982214,1.5229365142778661,4.899890835386562,8.0,-0.0014497323286458137,2.0144233029877245,0.01835176497535797,0.00016474069102301314,0.09449999999944225,0,not_applicable,0.39994148441392774,0,0,0.871528732374795,1.459846010995085,349,-0.8297961075069509,1.4068202046068876,0.21008581223244965,running
Pure Pursuit,0.6100000000000003,9.01358944179864,-20.73323518557193,1.8314497255680078,4.892448760232092,8.0,-0.0005836455788405882,2.322936514277866,0.04940429677898512,0.0067829713135161285,0.09319999999846118,0,not_applicable,0.5999122336804532,0,0,0.8655661810732169,1.134739804368848,356,-0.7993049119555145,1.421083051628309,0.21621722807816315,running
Pure Pursuit,0.7100000000000004,9.049240231241694,-20.929832758938215,2.1399629368581494,4.894441951059842,8.0,0.004017896220884494,2.631449725568008,0.04964436941465562,0.004152260390533513,0.0780000000020209,0,not_applicable,0.7998829508690226,0,0,0.8618526451952793,0.9472781789593168,365,-0.7601019462465246,1.4823558432043795,0.22496523842325905,running
Pure Pursuit,0.8100000000000005,9.092962276533205,-21.15630710264009,2.4484761481482904,4.904024676413589,8.0,0.0036106993101334152,2.9399629368581497,0.01897475783967509,0.005622712843795341,0.08049999999926172,0,not_applicable,0.9998537001356073,0,0,0.8758991387781755,0.8157857091148935,724,0.8036607970342913,1.42699106226599,0.2153071491827237,running
Pure Pursuit,0.9100000000000006,9.143034866977928,-21.412975558494384,2.7569893594384314,4.9023134748290085,8.0,-0.001696861599847596,3.24847614814829,0.04267017513299893,0.003952478106826973,0.11000000000294108,0,not_applicable,1.1998244492345342,0,0,0.871855767250442,0.7104148822438461,726,0.8123725671918445,1.4098663461661254,0.2135218524542555,running
Pure Pursuit,1.0100000000000007,9.195996691238578,-21.700496679714252,3.0655025707285724,4.890861916758467,8.0,-0.000976107988388118,3.5569893594384316,0.0649332812337209,0.00815298647130902,0.13249999999942474,0,not_applicable,1.599765926247806,0,0,0.8675991354839303,0.6347440238654958,368,-0.7470342910101946,1.508996404211752,0.22502164647011183,running
Pure Pursuit,1.1100000000000008,9.253156114846803,-22.018612503405656,3.3740157820187133,4.89229912915583,8.0,0.005812240471371507,3.865502570728572,0.05847380819010929,0.007132837126119895,0.1487000000004457,0,not_applicable,1.7997366755143855,0,0,0.8555066485763424,0.5661209627892455,367,-0.7513901760889712,1.4940954322072275,0.22593517874601313,running
Pure Pursuit,1.2100000000000009,9.318975249368313,-22.366501378920113,3.6825289933088543,4.905472928664557,8.0,0.0063924084712109345,4.174015782018714,0.013304127550436778,0.004399809028855728,0.07950000000178647,0,not_applicable,2.199678171280145,0,0,0.8634071408839605,0.5182206941513425,715,0.7644578313253012,1.4859236697383709,0.2239412608755995,running
Pure Pursuit,1.310000000000001,9.394990150575738,-22.743831844288504,3.9910422045989953,4.919339117971049,8.0,0.0005114890586426397,4.482528993308854,0.0028520861657690367,0.016977457984991062,0.09460000000061086,0,not_applicable,2.5996196286524333,0,0,0.8667075526042485,0.46501938879670757,723,0.7993049119555145,1.4101443902006783,0.21621722807816315,running
Pure Pursuit,1.410000000000001,9.48007995780161,-23.150796239754364,4.299555415889138,4.918052930715704,8.0,-0.00799765678521408,4.7910422045989955,0.0142087909441163,0.014571320920255815,0.2480000000026905,0,not_applicable,2.9995610884666215,0,0,0.8591344990630186,0.42958581614605507,711,0.7470342910101948,1.4829590458452102,0.22502164647011186,running
Pure Pursuit,1.5100000000000011,9.56840485653007,-23.588589396331624,4.60806862717928,4.902372263872656,8.0,-0.008080938937537533,5.099555415889138,0.06044386900174056,0.002060352787312425,0.1983000000009838,0,not_applicable,3.399502567477403,0,0,0.8701124094108093,0.40566509270898543,359,-0.7862372567191844,1.4513052808124405,0.21901940157552577,running
Pure Pursuit,1.6100000000000012,9.657013313449697,-24.05775919354649,4.916581838469423,4.886815834491601,8.0,-0.0015771880061409907,5.40806862717928,0.06291088058619863,0.01879558569543427,0.09839999999883275,0,not_applicable,3.999414815057698,0,0,0.877896688878433,0.3748996987197187,368,-0.7470342910101946,1.492547437565145,0.22502164647011183,running
Pure Pursuit,1.7100000000000013,9.7467266212406,-24.558098553679795,5.225095049759565,4.888288800995894,8.0,0.007708902934902015,5.7165818384694225,0.04573175342059465,0.017825184009652162,0.09950000000102932,0,not_applicable,4.3993563075677775,0,0,0.8713154408615131,0.35375516162214626,348,-0.8341519925857275,1.3777034444400782,0.20925385860619156,running
Pure Pursuit,1.8100000000000014,9.844600542626104,-25.08830861869125,5.533608261049707,4.906489279259797,8.0,0.009713188238910344,6.025095049759565,0.017317352102716108,5.8043000857210814e-05,0.12849999999886563,0,not_applicable,4.999268552350134,0,0,0.8740949540462997,0.33803165685993164,369,-0.742678405931418,1.5252434327875053,0.2241197071405647,running
Pure Pursuit,1.9100000000000015,9.955092273461997,-25.647513987535167,5.84212147233985,4.923421154872207,8.0,0.0038185036455098973,6.333608261049707,0.04570681883051581,0.016817638035309557,0.0973000000001889,0,not_applicable,5.599180799837199,0,0,0.8707583162130736,0.31494623443113057,709,0.7383225208526416,1.512193595253098,0.2232291878884924,running
Pure Pursuit,2.010000000000001,10.077747834243137,-26.235734518839386,6.150634683629992,4.921453286292759,8.0,-0.005719218584570153,6.642121472339849,0.04409549107969737,0.015186672401046764,0.16929999999959477,0,not_applicable,6.1990930457669275,0,0,0.8662580752676969,0.29693722583336485,714,0.7601019462465248,1.4822478401209769,0.22496523842325897,running
Pure Pursuit,2.109999999999999,10.204493754977118,-26.854610870651307,6.459147894920134,4.900689653030033,8.0,-0.00797826524265193,6.950634683629992,0.013000230083477778,0.0048840737715458715,0.12359999999844717,0,not_applicable,6.799005286055204,0,0,0.8683486928456774,0.28167835069534264,717,0.7731696014828544,1.4618852918770013,0.22193355627601147,running
Pure Pursuit,2.209999999999997,10.331807698957707,-27.504839200184655,6.7676611062102765,4.901004586196117,8.0,0.00010090041021859322,7.259147894920134,0.05057883154484032,0.0033896666159716204,0.09500000000173259,0,not_applicable,7.398917519095597,0,0,0.8715258303624884,0.27278183742148865,736,0.8559314179796109,1.3602262415749102,0.20524858980469113,running
Pure Pursuit,2.3099999999999947,10.464439729380224,-28.185463382053108,7.076174317500419,4.904470671790435,8.0,-0.0008962500549477173,7.567661106210276,0.0563938299239865,0.002007110888655461,0.11140000000153805,0,not_applicable,8.198800492721054,0,0,0.8739171402090611,0.25537894287959517,717,0.7731696014828544,1.4588918781835876,0.22193355627601147,running
Pure Pursuit,2.4099999999999926,10.599252926170363,-28.89708169103719,7.384687528790561,4.884527894562868,8.0,-0.004019391480602694,7.876174317500419,0.06837391181208045,0.01670977473117219,0.11650000000074101,0,not_applicable,8.798712703254315,0,0,0.8646189802279531,0.2443442670860601,359,-0.7862372567191844,1.440596717402836,0.21901940157552577,running
Pure Pursuit,2.5099999999999905,10.732708908225801,-29.636415793077912,7.621977561840183,4.884250931599176,6.153124712094389,0.006415910704541967,8.0,0.019869707227687092,0.016200206665541117,0.08319999999883976,0,not_applicable,9.598595699511861,0,0,0.8626070716493238,0.23141915226538762,368,-0.7470342910101946,1.478896512743157,0.22502164647011183,running
Pure Pursuit,2.6099999999999883,10.870868368472578,-30.39398886877391,7.7677587072607,4.909930217695089,3.780224381598174,0.008909037375563067,8.0,0.013657394681319357,0.009409752262463655,0.09139999999874249,0,not_applicable,10.39847869577965,0,0,0.870160334410918,0.23092178426538698,368,-0.7470342910101946,1.5164054809991743,0.22502164647011183,running
Pure Pursuit,2.709999999999986,11.018347363478643,-31.1615602720809,7.8573205910321695,4.913989929675901,2.322412927392996,-0.0006367143503955779,8.0,0.029624004330136115,0.012449954620263881,0.1755999999986102,0,not_applicable,11.198361687236243,0,0,0.8634388928372074,0.22542904299281238,370,-0.7383225208526414,1.5183243700460938,0.22322918788849236,running
Pure Pursuit,2.809999999999984,11.167483385482901,-31.93603385747121,7.912343694339226,4.886925049096265,1.426794089678305,-0.002437679934490453,8.0,0.04046332324720248,0.016555374328190098,0.11519999999975994,0,not_applicable,11.998244631118956,0,0,0.8699039832612536,0.21850684546592034,352,-0.8167284522706209,1.3880375513516892,0.2126462795560751,running
Pure Pursuit,2.909999999999982,11.310662744540387,-32.71606030535991,7.946147604775769,4.88050639289083,0.8765630566077398,0.013208458623915556,8.0,0.04934673214351602,0.025754500989526363,0.08250000000131763,0,not_applicable,12.798127557354105,0,0,0.8720607475944443,0.21477875476063082,352,-0.8167284522706209,1.376073992785671,0.2126462795560751,running
Pure Pursuit,3.00999999999998,11.451039590811668,-33.485069887426064,7.751409295109794,4.90810432982048,-2.21615076699333,0.0219591193079543,7.724532528076436,0.07065536186827724,0.001794504469522451,0.1660999999977264,0,not_applicable,13.598010488878353,0,0,0.8339368408562176,0.2145544738333153,375,-0.7165430954587582,1.5045602795802255,0.21894209497805295,running
Pure Pursuit,3.1099999999999777,11.595223946009844,-34.21983164363484,7.35350185950393,4.950571144856674,-4.528245470153438,0.013671869192101083,7.29858474809445,0.08965764190554615,0.0377222649849589,0.08689999999944575,0,not_applicable,14.197922519629856,0,0,0.8510199523587605,0.22254487341564297,714,0.7601019462465248,1.4752125803504486,0.22496523842325897,running
Pure Pursuit,3.2099999999999755,11.749275050259397,-34.91553402946216,7.009517899069962,4.97516542472321,-3.9145883470833986,-0.007325655446040293,6.96204302479559,0.020113879567274475,0.06299554609424618,0.07989999999935549,0,not_applicable,14.997805516261577,0,0,0.8508255713023253,0.22427692220004591,725,0.8080166821130677,1.3539107370560113,0.2144087504700342,running
Pure Pursuit,3.3099999999999734,11.905710135116918,-35.567732204542466,6.550342886577977,4.963551168798272,-5.233033554358126,-0.028780960367500958,6.48621454363415,0.066985296787814,0.05675370061996077,0.3895000000007087,0,not_applicable,15.597717097101608,0,0,0.8822489008527851,0.22748815798042502,711,0.7470342910101948,1.3949781567335684,0.22502164647011186,running
Pure Pursuit,3.4099999999999713,12.051718589663176,-36.17966604631906,6.159057362947711,4.917350486128063,-4.452887132449597,-0.03654950483531654,6.105054173333017,0.1011222741186108,0.019194467371303148,0.07769999999851507,0,not_applicable,16.197628179500306,0,0,0.8476994540056048,0.25049344337029744,718,0.7775254865616312,1.3902809841183508,0.22094939445953415,running
Pure Pursuit,3.509999999999969,12.16728949876744,-36.75723860949701,5.754316028693253,4.820788955413524,-4.606016247550109,-0.03324367629063611,5.6984557381927,0.09543477622455067,0.06326983722280133,0.08060000000043033,0,not_applicable,16.7975396647075,0,0,0.8480341845297826,0.28050848256537314,721,0.7905931417979613,1.4333559273370007,0.21807316453493353,running
Pure Pursuit,3.609999999999967,12.236806885767152,-37.29935273008637,5.320408945481999,4.723571316597725,-4.93792678447222,-0.003172877163585612,5.260523350246031,0.04092274077874471,0.13746877310557615,0.07779999999968368,0,not_applicable,17.397440074209978,0,0,0.8412165453461458,0.28792966912626256,355,-0.803660797034291,1.365278776195329,0.21530714918272373,running
Pure Pursuit,3.709999999999965,12.263595874138286,-37.7996244228437,4.848957598668519,4.67940231318972,-5.377420490251774,0.02496407790539998,4.7826668964568215,0.07218654774987017,0.1391266459049838,0.07909999999711204,0,not_applicable,17.99732357510349,0,0,0.8509269374895776,0.3057153584872928,360,-0.7818813716404078,1.3741466358695729,0.21997807798827249,running
Pure Pursuit,3.8099999999999627,12.267575856778324,-38.2505870383458,4.326776684928649,4.694613298469053,-5.975067127572364,0.034771688988967396,4.251450885911282,0.04855830779028128,0.07388148453743426,0.0725999999993121,0,not_applicable,18.397241686385126,0,0,0.8412787876588556,0.3448037230130149,361,-0.7775254865616312,1.4124591931596275,0.22094939445953415,running
Pure Pursuit,3.9099999999999606,12.27119854005286,-38.655900350822996,3.9138637392655493,4.737512946736892,-4.699010394012064,0.0051672478341811875,3.856875645527442,0.05334667645419841,0.03396518500413137,0.09499999999817987,0,not_applicable,18.797126515030747,0,0,0.850105784706638,0.383994725382543,696,0.6816960148285451,1.502751135857306,0.21261932153731197,running
Pure Pursuit,4.009999999999959,12.277672122480807,-39.040872622137414,3.8178773785055515,4.725701075567201,-1.0923389824222918,-0.058905086150609534,3.80462984102332,0.03897282876997047,0.09851593275211101,0.10770000000093205,0,not_applicable,19.196895921593953,0,0,0.8921930939158755,0.3810474820478912,713,0.755746061167748,1.3113609600109857,0.22600293112750477,running
Pure Pursuit,4.109999999999957,12.27011405663019,-39.424663652506254,3.8577950500821006,4.646334113739664,1.0350978853611092,-0.10909314214998092,3.9213871670416625,0.04094658701592041,0.10854236496077263,0.13499999999666557,0,not_applicable,19.5965754636156,0,0,0.860556696454436,0.371775466098471,699,0.6947636700648747,1.3053015255941416,0.21491658495418042,running
Pure Pursuit,4.209999999999955,12.227537020256142,-39.78746885485356,3.5525233891662564,4.497319802944841,-3.4740366527797972,-0.12912564890077416,3.510391384804121,0.08664336448279578,0.055424552714463005,0.11149999999915394,0,not_applicable,19.99631567519498,0,0,0.8172425958192814,0.3842362745801653,713,0.755746061167748,1.3047651796508362,0.22600293112750477,running
Pure Pursuit,4.3099999999999525,12.144208155961554,-40.10084451134553,3.086146182584633,4.340998592503027,-5.317741473601858,-0.10289476734245921,3.0207492418060706,0.06589874634649862,0.05711122905017163,0.0838000000022987,0,not_applicable,20.196286424461565,0,0,0.8260742012620841,0.449325994007536,720,0.7862372567191844,1.346784817263371,0.21901940157552577,running
Pure Pursuit,4.40999999999995,12.024035049929223,-40.387848381766695,3.1351491842026125,4.264479269709497,1.2706879271214078,-0.05539967354696345,3.213214975296774,0.061929369476091345,0.04235483195969536,0.07270000000048071,0,not_applicable,20.59618070927304,0,0,0.8253283827243523,0.5371449417840816,709,0.7383225208526416,1.4492676028507545,0.2232291878884924,running
Pure Pursuit,4.509999999999948,11.883492964899697,-40.669516182230645,3.15926851078963,4.222922646821502,0.6254338732829057,-0.037362784580502996,3.197692571530903,0.06797663086178939,0.05658534569957929,0.13689999999755287,0,not_applicable,20.79615145853957,0,0,0.8509547436784011,0.5344225355856387,717,0.7731696014828544,1.421085879809545,0.22193355627601147,running
Pure Pursuit,4.609999999999946,11.727413947794215,-40.94944637309746,3.244429517276804,4.182010393781702,2.2082945785315866,-0.03464700894923295,3.3800979686427888,0.019984523717796236,0.03532518638659177,0.07380000000267728,0,not_applicable,21.19596294534468,0,0,0.8516244253801456,0.5247938285577793,711,0.7470342910101948,1.4414822074733757,0.22502164647011186,running
Pure Pursuit,4.709999999999944,11.552772398035899,-41.23448425726722,3.427079073007494,4.141512212889775,4.736252427359857,-0.0350163518096984,3.7180547600127896,0.08225163724729531,0.02177063595316575,0.06759999999772504,0,not_applicable,21.59581686093425,0,0,0.8504523222400198,0.510192520734728,715,0.7644578313253012,1.41865503660354,0.2239412608755995,running
Pure Pursuit,4.809999999999942,11.357587636642767,-41.52635514763021,3.5832937284731132,4.099360811667554,4.0507738339596155,-0.041888125875437145,3.8321564564034554,0.06974055935066978,0.030992576798754,0.07550000000122736,0,not_applicable,21.795745420911672,0,0,0.864050884443855,0.4858423887559744,717,0.7731696014828544,1.4135895650833077,0.22193355627601147,running
Pure Pursuit,4.90999999999994,11.145855458280792,-41.816285746421954,3.5964684764975834,4.0533839609994065,0.34163199609834827,-0.0559916639804892,3.617456928082948,0.03196321097408787,0.007202703021411239,0.07499999999893703,0,not_applicable,22.19568691944478,0,0,0.8723862261613811,0.4419986491508866,705,0.7208989805375348,1.4095568325186736,0.2197779812188762,running
Pure Pursuit,5.009999999999938,10.935092149634693,-42.07442966539912,3.199115208669684,3.98022992534588,-4.521938958875373,-0.0746738130079798,3.144274580610046,0.038140037613044346,0.008435198927559284,0.07339999999800284,0,not_applicable,22.595560841165813,0,0,0.8734071302944368,0.43519392609519875,710,0.742678405931418,1.3771112196706332,0.2241197071405647,running
Pure Pursuit,5.1099999999999355,10.715492788602042,-42.30386488458378,3.165311911873227,3.906211433282617,-0.3846865172593228,-0.08152095460535964,3.160646556943752,0.08171490987185116,0.010307230789170063,0.06600000000034356,0,not_applicable,22.79528785730215,0,0,0.8786261925527797,0.4911463764979202,713,0.755746061167748,1.3694841876662212,0.22600293112750477,running
