controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision,minimum_clearance_m,minimum_ttc_s,critical_beam_index,critical_beam_angle_rad,critical_scan_range_m,critical_side_distance_m,termination_reason
MPC,0.10999999999999999,-66.88341037758977,42.31852446539141,0.2888836686591211,2.341523797147646,7.999999987311743,0.0025539252914566117,0.7999999987311743,0.014290754694199192,0.0006784020769163845,0.594400000000217,2,optimal,0.0,0,0,0.9284988365416399,nan,941,1.7488878591288235,1.0859897805558183,0.1574909440141784,running
MPC,0.21000000000000005,-66.9154840691524,42.35086212007306,0.5973968799492626,2.346941030890407,8.0,0.03662529104106322,1.088883668659121,0.059836188836139004,0.006095635819677092,0.6752999999997122,3,optimal,0.0,0,0,0.9329924790963096,6.359791556774171,363,-0.7688137164040778,1.5434212020524025,0.22293077345441883,running
MPC,0.3100000000000001,-66.97251249247596,42.4016476166285,0.9059100912394041,2.3747249023210997,8.0,0.16011131188209898,1.3973968799492626,0.0642520934152194,0.03384138260224212,0.7455000000002876,3,optimal,0.199954931236915,0,0,0.9210980987791145,3.088738920414798,708,0.7339666357738648,1.5924561689996275,0.22234991952811328,running
MPC,0.4100000000000002,-67.05525905634697,42.46985615502973,1.2144233025295457,2.4077248930352084,8.0,-0.15404795347688033,1.7059100912394043,0.046262373228013964,0.06684137331635087,0.8433000000001023,3,optimal,0.199954931236915,0,0,0.9262018173616686,1.9212259351819558,739,0.8689990732159409,1.3265882118728214,0.20296376061118723,running
MPC,0.5100000000000002,-67.15555912284613,42.56476791046058,1.5229365138196873,2.395606623962323,8.0,0.16011131188209898,2.0144233025295457,0.030797387114430242,0.0546842040002522,0.8375999999996608,3,optimal,0.399909862472154,0,0,0.928006028167417,1.4640360836325736,718,0.7775254865616312,1.4880151628958547,0.22094939445953415,running
MPC,0.6100000000000003,-67.28643054558208,42.67159427644514,1.8314497251098292,2.44026567662264,8.0,-0.15404795347688033,2.3229365138196876,0.06744296309622218,0.09926890674264799,0.9134999999997895,3,optimal,0.5998647936886221,0,0,0.9189527153062111,1.0664799297204286,727,0.8167284522706209,1.3245762264330794,0.2126462795560751,running
MPC,0.7100000000000004,-67.42944239923712,42.810746103820016,2.139962936399971,2.3526391125261195,8.0,-0.4188790204786391,2.631449725109829,0.07164715118993635,0.011566398074470907,1.0570000000003077,3,optimal,0.7998197249255443,0,0,0.9010070960249346,0.9989499613405186,712,0.7513901760889712,1.5628445021875634,0.22593517874601313,running
MPC,0.8100000000000005,-67.55690707609182,43.00259064376692,2.448476147690112,2.145612807567864,8.0,-0.10471975511965985,2.9399629363999713,0.02652063063046768,0.19557032720532908,0.8574999999999555,3,optimal,0.9997746560587977,0,0,0.9212456825561242,0.7330420493454476,372,-0.729610750695088,1.390831124489732,0.22148173646210823,running
MPC,0.9100000000000006,-67.68120589718103,43.23265695308404,2.756989358980253,2.061348670138386,8.0,-0.0731504078647157,3.248476147690112,0.06904252425775856,0.2799474952318577,0.7199000000004396,3,optimal,1.1997295872957208,0,0,0.8561120716429592,0.5524502990261153,375,-0.7165430954587582,1.2389578843221898,0.21894209497805295,running
MPC,1.0100000000000007,-67.81622426011133,43.491947410477756,3.0655025518967522,2.062562365170928,7.999999523556425,0.24088701843510565,3.5569893113358955,0.17485087752377002,0.2790303827409262,0.677899999999898,3,optimal,1.5996394494860104,0,0,0.83103671787383,0.4488444833279831,373,-0.7252548656163114,1.146652996750913,0.22062447658991918,running
