controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision,minimum_clearance_m,minimum_ttc_s,critical_beam_index,critical_beam_angle_rad,critical_scan_range_m,critical_side_distance_m,termination_reason
Pure Pursuit,0.10999999999999999,-0.15468508950973964,-0.1482449444613,0.28888366911729985,3.905734505808967,8.0,9.369394727789569e-05,0.8,0.014290755019130111,0.0,0.07890000000010389,0,not_applicable,0.0,0,0,1.0036191251214535,nan,911,1.6182113067655237,1.1587935224582913,0.15517439733683772,running
Pure Pursuit,0.21000000000000005,-0.1875704498291452,-0.1797611586587463,0.5973968804074414,3.905734505808967,8.0,9.563681442389626e-05,1.0888836691172998,0.05983983492944719,0.0,0.07489999999954478,0,not_applicable,0.0,0,0,1.0035298597699316,7.027108816380464,355,-0.803660797034291,1.624293115335099,0.21530714918272373,running
Pure Pursuit,0.3100000000000001,-0.24239080917053973,-0.2329745104187869,0.905910091697583,3.908445071559601,8.0,0.00010224960970756428,1.3973968804074415,0.0637252932418014,0.0026596516741221876,0.07330000000038694,0,not_applicable,0.19996152729069755,0,0,1.0062687592321098,3.3910477509311607,357,-0.7949490268767376,1.6358507062158503,0.21713917065507293,running
Pure Pursuit,0.4100000000000002,-0.3197581300976242,-0.3072496539050372,1.2144233029877245,3.9063622805116918,8.0,-0.00150347371036873,1.7059100916975831,0.04353011056016443,0.000576860626214426,0.07019999999968718,0,not_applicable,0.19996152729069755,0,0,1.0332980903146094,2.2435616014261006,355,-0.803660797034291,1.6259922951066164,0.21530714918272373,running
Pure Pursuit,0.5100000000000002,-0.42032754972973074,-0.40189727482555543,1.5229365142778661,3.900129961758086,8.0,-0.0003832576497681709,2.0144233029877245,0.018351233950017046,0.005716747795410981,0.08639999999893178,0,not_applicable,0.39992305437013026,0,0,1.0439065864581696,1.6515800598331092,368,-0.7470342910101946,1.6966308596662782,0.22502164647011183,running
Pure Pursuit,0.6100000000000003,-0.5429753056333613,-0.5180971692045997,1.8314497255680078,3.9022281805428665,8.0,0.0034997507414327718,2.322936514277866,0.04937892140686472,0.0036715934130242545,0.06980000000034181,0,not_applicable,0.5998845816608278,0,0,1.048239046794647,1.3166775302008698,361,-0.7775254865616312,1.649970058964982,0.22094939445953415,running
Pure Pursuit,0.7100000000000004,-0.6864539384225664,-0.6571508990091574,2.1399629368581494,3.9107829001940715,8.0,0.0027472098045886765,2.631449725568008,0.04951350044814037,0.00481858567810356,0.1078000000003243,0,not_applicable,0.7998461085784672,0,0,1.0464278154367797,1.0919765296873345,361,-0.7775254865616312,1.6461814798392855,0.22094939445953415,running
Pure Pursuit,0.8100000000000005,-0.8520200875363428,-0.8177429199709672,2.4484761481482904,3.908926001194819,8.0,-0.002201790844576204,2.9399629368581497,0.01883398765549822,0.00290639798573622,0.0952000000005171,0,not_applicable,0.9998076358691644,0,0,1.0477331975079796,0.9331607224973832,371,-0.7339666357738648,1.7051165338866614,0.22234991952811328,running
Pure Pursuit,0.9100000000000006,-1.0417252895143243,-0.9977372048057002,2.7569893594384314,3.898383437623845,8.0,-0.0017946428705162916,3.24847614814829,0.042727303672031695,0.007704107260025239,0.07640000000108671,0,not_applicable,1.1997691626984577,0,0,1.0429484996081708,0.8029576447868119,356,-0.7993049119555145,1.5869383712843559,0.21621722807816315,running
Pure Pursuit,1.0100000000000007,-1.2544689651431709,-1.1982708367551478,3.0655025707285724,3.8999526557448796,8.0,0.004102678050221458,3.5569893594384316,0.06493234085196542,0.0062636707592691465,0.07950000000001012,0,not_applicable,1.5996922168357823,0,0,1.0167860547529697,0.7107802554571091,337,-0.8820667284522707,1.4462090457090715,0.2007631459721537,running
