controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision
MPC,0.01,0.7,0.0,0.0,1.37079632679,8.0,0.19039971458709654,0.8,0.3692983251946318,0.2509290443238812,0.6579000000006552,3,optimal,0.199947,0,0
MPC,0.10999999999999999,0.7028057820216174,0.014012585537702403,0.28888366911729985,1.3767445614910467,8.0,0.4188790204786391,1.0888836691172998,0.3649864143198576,0.24498080962283453,0.5824999999997083,3,optimal,0.199947,0,0
MPC,0.21000000000000005,0.7078635361007221,0.05909363584321859,0.5973968804074414,1.4169221155958194,8.0,0.38424730372660887,1.3973968804074415,0.35864924386942765,0.2048032555180619,0.5687999999999249,3,optimal,0.199947,0,0
MPC,0.3100000000000001,0.7017189702771588,0.13523552375265527,0.905910091697583,1.5038861132667145,8.0,0.4188790204786391,1.7059100916975831,0.36995106325245875,0.13372702570110162,0.5908000000003355,3,optimal,0.3998941,0,0
MPC,0.4100000000000002,0.6831320505846815,0.24078528600453564,1.2144233029877245,1.6271387467497103,8.0,0.10471975511965981,2.0144233029877245,0.3714506722013767,0.010474392218105866,0.6363999999998704,3,optimal,0.3998941,0,0
MPC,0.5100000000000002,0.6461858883192103,0.3738465622146455,1.5229365142778661,1.7532453803164076,8.0,0.18111647150883578,2.322936514277866,0.39996487474663395,0.09978331970839616,0.5679999999999019,3,optimal,0.5998411,0,0
MPC,0.6100000000000003,0.5983579183328408,0.535854365203181,1.8314497255680078,1.8324485285866923,8.0,-0.13304279385014353,2.631449725568008,0.43701754724856656,0.16313087356337608,0.5714000000005548,3,optimal,0.7997882,0,0
MPC,0.7100000000000004,0.530060162026063,0.7236158047596134,2.1399629368581494,1.9007472088169035,8.0,-0.4188790204786391,2.9399629368581497,0.4853384465045917,0.21554057065329113,0.5811000000002231,3,optimal,0.9997352,0,0
MPC,0.8100000000000005,0.46877016290706425,0.9456991186341779,2.4484761481482904,1.809706972345139,8.0,-0.10471975511965981,3.24847614814829,0.5162162926143335,0.10857548695899233,0.6324000000001995,3,optimal,1.1996823,0,0
MPC,0.9100000000000006,0.4540227910103622,1.2063567394835726,2.7569893594384314,1.5852842750734994,8.0,-0.12156915141388307,3.5569893594384316,0.495446745634527,0.131815363826004,0.5643000000001841,3,optimal,1.3996293,0,0
MPC,1.0100000000000007,0.4736229106582069,1.4979723163576284,3.0655025707285724,1.4720999280538665,8.0,0.18635468913886516,3.865502570728572,0.43233032354535383,0.2770765173340335,0.5714000000001107,3,optimal,1.7995234,0,0
MPC,1.1100000000000008,0.5164368449735366,1.8183228647262568,3.3740157820187133,1.427451545699174,8.0,0.41887902047863906,4.174015782018714,0.3304466850760262,0.33784398322295406,0.5661000000003469,3,optimal,1.9994704,0,0
MPC,1.2100000000000009,0.5343961350752463,2.1714167695189976,3.6825289933088543,1.6145899005631048,8.0,0.12975323096224636,4.482528993308854,0.23423255227825793,0.18312234697240548,0.6095999999997659,3,optimal,2.3993645,0,0
MPC,1.310000000000001,0.46157315173255453,2.5483261981120515,3.9910422045989953,1.929009769422492,8.0,-0.14896323355082997,4.7910422045989955,0.21435821029769714,0.09861176021962414,0.6139000000002781,3,optimal,2.7992586,0,0
MPC,1.410000000000001,0.31098699701361837,2.9356911866171793,4.299555415889138,2.0176848946518913,7.643800415989767,-0.059997124427572934,5.063935457488115,0.25381669780699373,0.15429634849236695,0.6215999999996669,3,optimal,3.1991527,0,0
MPC,1.5100000000000011,0.14515046136669987,3.34955309337981,4.594332092488878,1.9183285325497295,6.713153049236014,-0.011020219354306688,5.265647397412479,0.2920877820640383,0.021608146061569578,0.5527000000000726,3,optimal,3.5990468,0,0
MPC,1.6100000000000012,-0.012190500032982485,3.796027724347323,4.853219143126629,1.8740313050979038,6.104882166500657,0.03878341282942148,5.463707359776695,0.28116776382174696,0.07340411898203758,0.5417999999997036,3,optimal,4.1988879,0,0
MPC,1.7100000000000013,-0.16862944493928717,4.268855373570884,5.088648743343509,1.8907401576505602,5.0937681470874265,0.06938999018419001,5.598025558052251,0.24811426686020854,0.09104171703076425,0.5557999999998842,3,optimal,4.598782,0,0
MPC,1.8100000000000014,-0.3404483939448086,4.759059022687811,5.28508558942168,1.9466240139880444,4.49238858685353,0.08526911639289211,5.734324448107033,0.18751660887867874,0.08758002717317215,0.5265999999997106,3,optimal,5.1986231,0,0
MPC,1.9100000000000015,-0.5443957943142415,5.25664038379388,5.45833074308335,2.0353880499422283,4.00657322575321,0.07225911048895482,5.858988065658671,0.15050989253020655,0.05245558367151437,0.5475000000001451,3,optimal,5.7984643,0,0
MPC,2.010000000000001,-0.7940320626374597,5.751237866648254,5.612840839601628,2.1320037888501364,3.0803536553712547,0.03423432305605174,5.920876205138753,0.1327417776831788,0.007643039183471423,0.3820999999999408,2,optimal,6.1983584,0,0
MPC,2.109999999999999,-1.0869448192305236,6.237420287745274,5.731632064367616,2.1876851459142315,2.580174364061746,0.03858823471235152,5.989649500773791,0.09431965747502305,0.007278196960796457,0.3719000000006467,2,optimal,6.7981995,0,0
MPC,2.209999999999997,-1.4124613685331915,6.715626031863201,5.831134299210766,2.222549048158698,2.226523165255132,0.05817573123827851,6.053786615736279,0.0623156116955859,0.01540760929311702,0.38029999999977804,2,optimal,7.3980406,0,0
MPC,2.3099999999999947,-1.7659531158511346,7.185106564996865,5.9169982756763595,2.2795765042688028,1.9442827115614245,0.06307593514937593,6.111426546832502,0.03507517791721873,0.015773509033540023,0.5132000000003245,3,optimal,7.9978818,0,0
MPC,2.4099999999999926,-2.1521881393823015,7.638544391717245,5.991977888551324,2.3620992432635313,1.7284327654665155,0.04800923597119197,6.164821165097976,0.03311405279553843,0.012082134641060893,0.3719000000002026,2,optimal,8.5977229,0,0
MPC,2.5099999999999905,-2.574129138208911,8.068872989296406,6.058633431422972,2.4359668019566287,1.5758011298749912,0.034227575674667596,6.216213544410471,0.047179354804383566,0.034416718147925796,0.4475999999993263,2,optimal,9.197564,0,0
MPC,2.6099999999999883,-3.0282244022620683,8.474762450261075,6.119402864789518,2.4872795945383457,1.4730339854517478,0.031764659122211596,6.266706263334693,0.059548352466144275,0.037151577060331675,0.41570000000001883,2,optimal,9.7974051,0,0
MPC,2.709999999999986,-3.5080578519629433,8.859366856402945,6.176209170438423,2.5265713861144294,1.4055788520489056,0.035329046786104074,6.316767055643314,0.07281506436305966,0.030662679942589754,0.39450000000007535,2,optimal,10.3972463,0,0
MPC,2.809999999999984,-4.009369431817209,9.225026600560273,6.230414126109314,2.5668723802884394,1.3611137377093834,0.036903015615199763,6.366525499880252,0.09036824096281126,0.02785186734071088,0.49549999999998207,2,optimal,10.9970874,0,0
MPC,2.909999999999982,-4.530149222505911,9.5720890264777,6.282904322378294,2.608585634354977,1.3313083171590216,0.0361334931129915,6.416035154094196,0.11293520433583196,0.02902988022685138,0.5959999999998189,2,optimal,11.5969285,0,0
MPC,3.00999999999998,-5.069396683265177,9.899800753059766,6.334245097896295,2.6509429481283804,1.8776019529939174,0.03851374259540742,6.5220052931956864,0.10933485757172771,0.021239837565170117,0.43280000000001095,2,optimal,12.3967167,0,0
MPC,3.1099999999999777,-5.627347076404627,10.207743219524247,6.406653223901644,2.6925591416177808,1.9537957801619068,0.033312477685899865,6.602032801917835,0.09019971050440978,0.028108528629350538,0.4241999999994306,2,optimal,12.9965578,0,0
MPC,3.2099999999999755,-6.204170045613499,10.495665529516646,6.481999700194504,2.7337779334285166,1.8935143092210802,0.02570520754997138,6.671351131116612,0.07806341072764936,0.036993322853892785,0.42119999999945534,2,optimal,13.596399,0,0
MPC,3.3099999999999734,-6.799062080307179,10.762752261252373,6.555021472714707,2.775302227591772,1.7955417238849611,0.01474460818753773,6.734575645103203,0.08678403782201802,0.04857084372782028,0.4078000000000692,2,optimal,14.1962401,0,0
