controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision
Pure Pursuit,0.01,0.7,0.0,0.0,1.37079632679,8.0,0.0012626735978263956,0.8,0.3692983251946318,0.2509290443238812,0.0737000000001764,0,not_applicable,0.199947,0,0
Pure Pursuit,0.10999999999999999,0.7028344348779872,0.014006842945505114,0.28888366911729985,1.3714747288679925,8.0,0.0009314416224896602,1.0888836691172998,0.36495839593251095,0.2502506422458888,0.06330000000032143,0,not_applicable,0.199947,0,0
Pure Pursuit,0.21000000000000005,0.711674155238733,0.05868950072808288,0.5973968804074414,1.3735926047747327,8.0,-0.0002404921746973286,1.3973968804074415,0.3548272065531794,0.2481327663391486,0.05670000000002062,0,not_applicable,0.199947,0,0
Pure Pursuit,0.3100000000000001,0.7268913989235504,0.13355742953983527,0.905910091697583,1.371710193726719,8.0,0.026994561326297194,1.7059100916975831,0.3465704284975946,0.26590294524109703,0.054099999999834836,0,not_applicable,0.3998941,0,0
Pure Pursuit,0.4100000000000002,0.7479077073566052,0.23872784066226818,1.2144233029877245,1.3737950320751986,8.0,0.03075322619239895,2.0144233029877245,0.3067296408127694,0.26381810689261753,0.05429999999995161,0,not_applicable,0.3998941,0,0
Pure Pursuit,0.5100000000000002,0.7736240067262032,0.37441517339227376,1.5229365142778661,1.3800273797580995,8.0,0.053963236220906645,2.322936514277866,0.27542129700681145,0.2734346808499124,0.05420000000011527,0,not_applicable,0.5998411,0,0
Pure Pursuit,0.6100000000000003,0.802793200744792,0.5408265259768527,1.8314497255680078,1.3955486306799967,8.0,0.07189724570807944,2.631449725568008,0.24227829504317908,0.27376902434331996,0.05150000000009314,0,not_applicable,0.7997882,0,0
Pure Pursuit,0.7100000000000004,0.830353168816119,0.7387042153252447,2.1399629368581494,1.4321149370449733,8.0,0.08008497297815353,2.9399629368581497,0.1998111295355665,0.2530917011186391,0.053999999999998494,0,not_applicable,0.9997352,0,0
Pure Pursuit,0.8100000000000005,0.8518964196675143,0.9683337044509679,2.4484761481482904,1.4808039849367465,8.0,0.08387963595013116,3.24847614814829,0.14435615810672123,0.2203275004494003,0.051800000000046253,0,not_applicable,1.1996823,0,0
Pure Pursuit,0.9100000000000006,0.8641782149337326,1.229527625455509,2.7569893594384314,1.5346556177827975,8.0,0.08370111455191559,3.5569893594384316,0.08481534347279733,0.182444021116706,0.05089999999974282,0,not_applicable,1.3996293,0,0
Pure Pursuit,1.0100000000000007,0.8630785106776657,1.5218512391926515,3.0655025707285724,1.5930033492043438,8.0,0.08533157596977722,3.865502570728572,0.10009645730844555,0.14010998797881014,0.050799999999906476,0,not_applicable,1.5995764,0,0
Pure Pursuit,1.1100000000000008,0.8441889116427294,1.8444665890433056,3.3740157820187133,1.6553387254867447,8.0,0.07935857529382191,4.174015782018714,0.013277416207891166,0.1099568034353835,0.053999999999998494,0,not_applicable,1.9994704,0,0
Pure Pursuit,1.2100000000000009,0.802942915037641,2.1960649106335484,3.6825289933088543,1.7211678558330774,8.0,0.08024507535054573,4.482528993308854,0.04787525056438584,0.07654439170243288,0.06249999999985434,0,not_applicable,2.3993645,0,0
