track,controller,lap_completed,collision,termination_reason,lap_time_s,control_updates,cross_track_rmse_m,cross_track_max_m,heading_rmse_deg,heading_max_deg,mean_speed_mps,max_speed_mps,steering_total_variation_rad,max_abs_steer_deg,median_controller_update_ms,max_controller_update_ms,deadline_misses_100ms
silverstone,MPC,True,False,lap_complete,85.47000000000682,855,0.07707654241754436,0.22830016753619164,4.08582212989673,21.726967573383746,5.369418537691369,7.999989667238314,30.588878394353472,24.000000000000004,0.5527000000000726,2.334700000000467,0
silverstone,Pure Pursuit,True,False,lap_complete,84.74000000000645,848,0.0676030608939682,0.14995477929591983,2.712012511351808,13.358323541420575,5.425088263478255,7.999999999999898,9.848788803445327,12.839692642354484,0.08099999999888752,0.2694000000005303,0
spielberg,MPC,True,False,lap_complete,59.829999999996666,599,0.09281814517475634,0.5856581442754528,6.194913358031483,37.20317978956003,5.765322188205905,7.999962404490185,22.37025617731208,24.000000000000004,0.5229000000017692,1.8011999999991701,0
spielberg,Pure Pursuit,True,False,lap_complete,59.1499999999968,592,0.07459959823688929,0.19359733252967892,3.5758266010039983,20.075840235497466,5.823106197207713,7.999999999969318,8.271766874841763,18.727909847159914,0.07640000000019853,0.2613999999994121,0
monza,MPC,True,False,lap_complete,72.19000000000003,722,0.07876604969481531,0.1839046731895197,3.4437655907330744,18.677689794760266,6.192682303552143,7.999999999935622,19.55479783977811,24.000000000000004,0.5234499999993147,1.2031000000001235,0
monza,Pure Pursuit,True,False,lap_complete,71.62999999999974,717,0.06789285817584048,0.22231018604209532,3.3052839345215435,16.970659616009346,6.23963463398915,7.999999999999991,9.479169601924058,17.31757577489851,0.08120000000033656,0.27249999999945373,0
nuerburgring,MPC,True,False,lap_complete,86.11000000000715,861,0.07948908687534106,0.42574545309420014,5.156370507991291,39.64861729434993,5.196379197784755,7.999981486185122,37.13973048921999,24.000000000000004,0.5237999999998522,1.1473999999997986,0
nuerburgring,Pure Pursuit,True,False,lap_complete,85.6400000000069,857,0.0665175789183921,0.16360518711698116,2.5366755040349003,11.923423563660032,5.22640487694814,7.999999997632157,8.793585348070282,14.653108940132672,0.0800000000005241,0.4427999999983001,0
zandvoort,MPC,True,False,lap_complete,77.90000000000295,779,0.07747289189884546,0.2913856077776925,5.308699866247265,30.452679443907442,4.992104647353865,7.9999955164294,36.41156659358754,24.000000000000004,0.5762999999987528,1.5011999999998693,0
zandvoort,Pure Pursuit,True,False,lap_complete,77.88000000000294,779,0.06887683871537614,0.19467626299492585,2.661653502716647,15.947020604655503,4.997335430789097,7.999999999999957,8.387414712018357,12.774483227805344,0.07599999999996498,0.3895000000007087,0
