controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision,minimum_clearance_m,minimum_ttc_s,critical_beam_index,critical_beam_angle_rad,critical_scan_range_m,critical_side_distance_m,termination_reason
MPC,0.10999999999999999,0.5071186245889364,5.188210711737844,0.2888836691172994,1.472912139018206,7.999999999999987,-0.00029643501614497615,0.7999999999999987,0.014290754716865023,0.0006784020779924127,1.2031000000001235,2,optimal,0.0,0,0,0.8755245913451394,nan,941,1.7488878591288235,1.0330155353593178,0.1574909440141784,running
MPC,0.21000000000000005,0.5114148950729259,5.233556310226532,0.597396880407441,1.474396841352149,8.0,0.0015037214188523467,1.0888836691172994,0.05983937212062503,0.0008063002559506316,0.6409999999998917,2,optimal,0.0,0,0,0.8793779360911839,5.758905028035446,741,0.8777108433734941,1.2644188224974315,0.2014875443267371,running
MPC,0.3100000000000001,0.5180498324525528,5.309667934811117,0.9059100916975825,1.4779355618054215,8.0,0.015030248175565359,1.397396880407441,0.06371878512165409,0.004348945555978645,0.8583999999998149,3,optimal,0.19994789100343444,0,0,0.868123853582614,2.785026313053133,731,0.8341519925857277,1.3269819711431718,0.20925385860619153,running
MPC,0.4100000000000002,0.5313574559806272,5.416021523902902,1.214423302987724,1.4545997716662653,8.0,-0.29912901718341395,1.7059100916975827,0.04347760739735146,0.018986844583177565,0.825899999999713,3,optimal,0.19994789100343444,0,0,0.8654587652498191,1.8319248266693733,364,-0.7644578313253012,1.421740921814629,0.2239412608755995,running
MPC,0.5100000000000002,0.5666092337380108,5.549517983939113,1.5229365142778657,1.367375944121289,8.0,0.015030248175565364,2.014423302987724,0.03150116016641922,0.10620598136531267,0.964299999999696,3,optimal,0.39989578200710246,0,0,0.8703269689216814,1.2095144925143446,374,-0.7208989805375348,1.323206138308769,0.2197779812188762,running
MPC,0.6100000000000003,0.6007983204191323,5.714849138905427,1.8314497255680076,1.3867143922870844,8.0,0.3118560193676882,2.322936514277866,0.06716319274612233,0.08685951637163836,0.7711999999995278,3,optimal,0.599843673008182,0,0,0.7868111315598327,0.9543130101473073,381,-0.6904077849860983,1.334660590224617,0.21414126651260781,running
MPC,0.7100000000000004,0.6110078518524998,5.91428753815414,2.1399629368581494,1.5070055722628803,8.0,-0.0023032459912911136,2.6314497255680074,0.062199529091237014,0.03344108540892243,0.902700000000145,3,optimal,0.7997915640118493,0,0,0.8247332342927133,0.9065324668504445,704,0.7165430954587584,1.4709185689424435,0.21894209497805303,running
MPC,0.8100000000000005,0.6135026915685557,6.144888882045021,2.4484761481482904,1.566500664191335,8.0,0.3118560193676882,2.9399629368581497,0.026398609897653805,0.09294849540179673,0.975500000000018,3,optimal,0.9997394550062536,0,0,0.8713067067551182,0.7064577757534767,707,0.729610750695088,1.3484238657154013,0.22148173646210823,running
MPC,0.9100000000000006,0.5825435403937836,6.404362215222998,2.7569893594384314,1.7163059512138268,8.0,-0.002303245991291114,3.24847614814829,0.053785062455265355,0.24276811932278441,0.6959000000001936,3,optimal,1.199687346009922,0,0,0.8454088391320745,0.49228611200080974,705,0.7208989805375348,1.1252527540825812,0.2197779812188762,running
MPC,1.0100000000000007,0.5384175753866813,6.693317281442531,3.0655025707285724,1.702777402507382,8.0,-0.3164625113502704,3.5569893594384316,0.14253681588947623,0.22927521093672,0.9332000000004115,3,optimal,1.599583127996135,0,0,0.7324082296843953,0.4176929719718036,720,0.7862372567191844,1.0326224001661743,0.21901940157552577,running
