time_s,x_m,y_m,speed_mps,yaw_rad,accel_mps2,steer_rad,cross_track_error_m,heading_error_rad,control_update_ms
0.0,0.0,0.75,2.0,0.0,0.5658820000102718,-0.3141592653589793,0.75,0.0,98.41330000017479
0.1,0.2,0.75,2.0565882000010274,-0.19680175422950108,0.5896908935510623,-0.4188790204786391,0.75,0.19680175422950086,44.11639999852923
0.2,0.40168897909179296,0.7097867440171158,2.1155572893561336,-0.4741040136200239,0.38884571404562074,-0.14989143776844893,0.7097887535265625,0.47410401362002386,43.53400000036345
0.30000000000000004,0.5899105625073983,0.6132027806380896,2.154441860760696,-0.5708636442665389,0.10421299673988103,0.050807746823524395,0.6132828624961716,0.5708636442665389,44.31320000185224
0.4,0.7711927574355508,0.496785586392517,2.164863160434684,-0.5376847758083753,-0.08570706020209179,0.13894582528963706,0.4968636496755886,0.5376847758083754,44.76269999940996
0.5,0.9571321445597967,0.385912373442173,2.156292454414475,-0.4459980711508045,-0.23606317689835987,0.14478126795018836,0.3859230293343442,0.4459980711508047,43.76810000030673
0.6000000000000001,1.1516686640689,0.29289885793538073,2.1326861367246392,-0.3507859140438675,-0.275111548088824,0.1281454812839721,0.2930173239558494,0.3507859140438674,42.852799999309354
0.7000000000000001,1.3519498450194811,0.2196120914982181,2.105174981915757,-0.26756364628746043,-0.2606614668612601,0.10396342013132231,0.21975958620144898,0.26756364628746043,66.58119999883638
0.8,1.554976685899909,0.16395493628028146,2.079108835229631,-0.20104240835156986,-0.22380653670028533,0.08047364509505017,0.16403187133974706,0.20104240835157006,46.69520000061311
0.9,1.758700026095184,0.12243703475600586,2.0567281815596026,-0.15026240260025794,-0.18113186395596176,0.06084142667715223,0.12244393579102474,0.15026240260025814,21.919599999819184
1.0,1.9620552881653168,0.09164831090128531,2.0386149951640062,-0.1123190627662182,-0.14030443999677666,0.04559186920844206,0.09167135376169123,0.11231906276621828,22.693599999911385
1.1,2.164632224294074,0.06879889222682206,2.024584551164329,-0.08415167319182945,-0.10486239316886553,0.034119039344806076,0.06895465954921745,0.08415167319182926,23.286999999982072
