time_s,x_m,y_m,speed_mps,yaw_rad,accel_mps2,steer_rad,cross_track_error_m,heading_error_rad,control_update_ms
0.0,0.0,0.75,2.0,0.0,0.0,-0.3141592653589793,0.75,0.0,0.0
0.1,0.2,0.75,2.0,-0.19680175422950108,0.0,-0.4110987318024814,0.75,0.19680175422950086,0.0
0.2,0.3961393915336986,0.7108932347439667,2.0,-0.46084664591901553,0.0,-0.21159897100123667,0.7109037174628297,0.4608466459190157,0.0
0.30000000000000004,0.5752746534473074,0.6219519173535505,2.0,-0.5909584735863599,0.0,-0.055229419373193846,0.6219698677587209,0.59095847358636,0.0
0.4,0.7413560614785255,0.5105204769681366,2.0,-0.6244446293704566,0.0,0.045903653494781836,0.510522277972771,0.6244446293704566,0.0
0.5,0.9036136495313267,0.39359111744159403,2.0,-0.5966215387683051,0.0,0.11275655985824783,0.3936077059609706,0.5966215387683054,0.0
0.6000000000000001,1.0690613542915035,0.28122093905965245,2.0,-0.5280347025882378,0.0,0.15182343277232235,0.2813668863018335,0.5280347025882377,0.0
0.7000000000000001,1.241821139689978,0.18045360035770514,2.0,-0.43536309894513275,0.0,0.17278045583116705,0.18046278960447434,0.4353630989451327,0.0
0.8,1.423164533459826,0.09610566893058659,2.0,-0.3296571139061806,0.0,0.17012261808376292,0.09615775513505853,0.3296571139061806,0.0
0.9,1.6123952130120127,0.03136194401289584,2.0,-0.2256092302090796,0.0,0.15212012817627135,0.03227079666510691,0.22560923020907975,0.0
1.0,1.8073268136197553,-0.013378094928789871,2.0,-0.13275370493418032,0.0,0.12244299418062277,0.015253052866306628,0.13275370493418048,0.0
1.1,2.005567045727221,-0.03985091823832758,2.0,-0.05821791676922512,0.0,0.08902276960015798,0.04023788864449577,0.05821791676922494,0.0
1.2000000000000002,2.205228208862525,-0.05148792539040785,2.0,-0.004154508190059539,0.0,0.05672770320621522,0.051752687166159675,0.00415450819005958,0.0
