time_s,x_m,y_m,speed_mps,yaw_rad,accel_mps2,steer_rad,cross_track_error_m,heading_error_rad,control_update_ms
0.0,0.0,0.75,2.0,0.0,0.0,-0.3141592653589793,0.75,0.0,0.0
0.1,0.2,0.75,2.0,-0.19680175422950108,0.0,-0.3774146490600806,0.7472422203495775,0.22429068994841161,0.0
0.2,0.3961393915336986,0.7108932347439667,2.0,-0.4369095760690028,0.0,-0.1592400502027298,0.7001562649047121,0.4918874475068242,0.0
0.30000000000000004,0.5773521263595269,0.6262649608814801,2.0,-0.5341838430467375,0.0,-0.0001363952314711683,0.6037044767792966,0.6127236593864822,0.0
0.4,0.7494890169635792,0.524437209785973,2.0,-0.5342664567549852,0.0,0.10257476224921609,0.48696263200515383,0.6344047225881599,0.0
0.5,0.9216174946121012,0.42259523817111144,2.0,-0.4719187690722083,0.0,0.16854465988544784,0.3667954553216253,0.5936554843988127,0.0
0.6000000000000001,1.0997570272719432,0.3316760053117597,2.0,-0.3688545824920851,0.0,0.20407253025492408,0.2533133637707296,0.5121897473121195,0.0
0.7000000000000001,1.286305214184829,0.2595665471282801,2.0,-0.24350422626298018,0.0,0.21497292015772043,0.15342898896773452,0.40843784057644417,0.0
0.8,1.480405023975798,0.21134555751680867,2.0,-0.11125295910859365,0.0,0.209151473950145,0.07209632663299356,0.2997485183239812,0.0
0.9,1.6791685779881471,0.18914083737941448,2.0,0.017308839946068133,0.0,0.18701610779402505,0.010955408935493089,0.19474866417124304,0.0
1.0,1.879138619142093,0.1926024325159448,2.0,0.13192261696103363,0.0,0.1562623391214754,0.030703883899049263,0.1036968320582008,0.0
1.1,2.077400784029118,0.21891049162926587,2.0,0.22734766401811646,0.0,0.12287497315166646,0.05366681809044466,0.03379722531153506,0.0
1.2000000000000002,2.272254312523323,0.2639893384796243,2.0,0.3021490754101275,0.0,0.09140470688570097,0.06330805204472294,0.015478745770058921,0.0
1.3,2.463194150179964,0.3235038610405556,2.0,0.357667014307861,0.0,0.06578530554458385,0.0620408536963452,0.04743473976586898,0.0
1.4000000000000001,2.6505373755238595,0.39352182957540033,2.0,0.39757032741636245,0.0,0.046223254394109285,0.05517403454569173,0.061812612563953095,0.0
1.5,2.834938262221743,0.4709576932629334,2.0,0.4255874095418598,0.0,0.03355069740571196,0.04553139876916861,0.06626774978752703,0.0
1.6,3.017097537147647,0.5535288659472846,2.0,0.44591647789406413,0.0,0.02638395608537612,0.0344879092349937,0.0610713778293146,0.0
1.7000000000000002,3.197540693398466,0.6397858503731417,2.0,0.46190077823527925,0.0,0.023869509774951815,0.02514326231687893,0.05153023786011257,0.0
1.8,3.376582099885437,0.7289159505815855,2.0,0.47636113199292773,0.0,0.024082204375286125,0.018087617679038957,0.04242864671583746,0.0
1.9000000000000001,3.5543159798926176,0.8206256441673401,2.0,0.4909503875759786,0.0,0.026756678726646076,0.011195330653503146,0.03149246198847111,0.0
2.0,3.7306930165331758,0.9149184909050178,2.0,0.5071606030624883,0.0,0.030294810174310828,0.007705255804689441,0.0221772371645641,0.0
2.1,3.905518439864352,1.0120579337543314,2.0,0.5255155888426346,0.0,0.033898163257837094,0.00868893709866405,0.015006782634293003,0.0
2.2,4.078531521221565,1.1123897516352126,2.0,0.5460553545548085,0.0,0.03635248235796566,0.006422211846506881,0.011984603444543662,0.0
2.3000000000000003,4.249447461177581,1.2162538044588505,2.0,0.5680835218059646,0.0,0.039204239114862864,0.004814929004915956,0.008487330385282377,0.0
2.4000000000000004,4.418034185473499,1.3238573192303125,2.0,0.591841448364487,0.0,0.04123269804843557,0.006993268485957599,0.006719816633387943,0.0
2.5,4.584017137623931,1.4354353618526288,2.0,0.6168299892528044,0.0,0.04181331692241812,0.009807246098270257,0.008146412619781884,0.0
2.6,4.747160388016967,1.551125810253503,2.0,0.6421708142853608,0.0,0.042782095339266524,0.00821139567484356,0.007961797341921262,0.0
2.7,4.907319881736177,1.670912857014021,2.0,0.6680994732368031,0.0,0.043179246999237295,0.008836727083680333,0.008365015982946478,0.0
2.8000000000000003,5.064319971751382,1.79481189548978,2.0,0.6942691293070394,0.0,0.04317151443979816,0.011229925819652316,0.009009231742765689,0.0
