controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision,minimum_clearance_m,minimum_ttc_s,critical_beam_index,critical_beam_angle_rad,critical_scan_range_m,critical_side_distance_m,termination_reason
Pure Pursuit,0.10999999999999999,34.18747461204769,90.53410018011814,0.28888366911729985,0.12387724709363175,8.0,-0.0004467182563725781,0.8,0.014290754716879912,0.0006784020779924127,0.1257999999992876,0,not_applicable,0.0,0,0,0.8701199969788166,nan,941,1.7488878591288235,1.027610940992995,0.1574909440141784,running
Pure Pursuit,0.21000000000000005,34.23269644112909,90.53954689813028,0.5973968804074414,0.12175937118689158,8.0,-0.00013096563855883648,1.0888836691172998,0.059839313133191366,0.002796277984732587,0.07590000000057273,0,not_applicable,0.0,0,0,0.8964541680320024,5.986511758281525,718,0.7775254865616312,1.4534130371420546,0.22094939445953415,running
Pure Pursuit,0.3100000000000001,34.30849836875978,90.5490778496776,0.905910091697583,0.12364178223490514,8.0,0.000970984364207548,1.3973968804074415,0.06372967911666752,0.0006298230231838176,0.07880000000071163,0,not_applicable,0.19996710727035555,0,0,0.8934538535826139,2.9002916587098775,731,0.8341519925857277,1.3732419711431718,0.20925385860619153,running
Pure Pursuit,0.4100000000000002,34.41487829224126,90.56272248964086,1.2144233029877245,0.1250633036723296,8.0,3.1957168776988084e-06,1.7059100916975831,0.04352173330525374,0.0007916984142406491,0.11499999999919908,0,not_applicable,0.19996710727035555,0,0,0.898557572165168,1.964964245282732,746,0.8994902687673774,1.3051807351397984,0.19795406078248534,running
Pure Pursuit,0.5100000000000002,34.551989479038326,90.57923659661462,1.5229365142778661,0.12087687356088733,8.0,-0.000920823676238132,2.0144233029877245,0.01834913724020926,0.00310251809890838,0.10989999999999611,0,not_applicable,0.39993421560614545,0,0,0.8948390869073555,1.436173666271987,347,-0.8385078776645043,1.374506114055289,0.2084324073070941,running
Pure Pursuit,0.6100000000000003,34.7197092778086,90.59960752129875,1.8314497255680078,0.12301076355081014,8.0,0.0014476092823463233,2.322936514277866,0.04936892098272503,0.0007063011552124188,0.13419999999975118,0,not_applicable,0.5999013216677272,0,0,0.8638097227103992,1.1446905255371447,717,0.7731696014828544,1.4696079628758862,0.22193355627601147,running
Pure Pursuit,0.7100000000000004,34.91777303901837,90.62592870727974,2.1399629368581494,0.13156733560754946,8.0,0.00037928862916211756,2.631449725568008,0.04953551459263966,0.008124787278059209,0.07180000000062137,0,not_applicable,0.7998684300035375,0,0,0.8983591660789397,0.9373017218031833,728,0.8210843373493977,1.3815354579030814,0.21178185999974475,running
Pure Pursuit,0.8100000000000005,35.14640595371681,90.65640717834401,2.4484761481482904,0.12971057099784894,8.0,-0.004991270460852435,2.9399629368581497,0.019069395721416593,0.006514651786691417,0.09090000000000487,0,not_applicable,0.99983553530441,0,0,0.89623999887706,0.8225215938388528,345,-0.8472196478220575,1.3721722927922293,0.20682039817249398,running
Pure Pursuit,0.9100000000000006,35.40598483558927,90.688105921428,2.7569893594384314,0.1191680193545605,8.0,-0.005191344611903906,3.24847614814829,0.042760341236391164,0.0037708345580469427,0.0821000000001959,0,not_applicable,1.199802643640203,0,0,0.8754437870593587,0.7192214526685858,713,0.755746061167748,1.5075859254906532,0.22600293112750477,running
Pure Pursuit,1.0100000000000007,35.696302240709144,90.72259379389945,3.0655025707285724,0.12073723866872327,8.0,0.0005532936194832732,3.5569893594384316,0.06490215294446117,0.0017312153069761749,0.12749999999961403,0,not_applicable,1.5997368568850163,0,0,0.899320096563609,0.637751639370792,361,-0.7775254865616312,1.473986578422823,0.22094939445953415,running
