path,controller,cross_track_rmse_m,cross_track_max_m,heading_rmse_deg,speed_rmse_mps,steering_total_variation_rad,max_abs_steer_deg,progress_m,median_control_update_ms,max_control_update_ms,mean_sqp_iterations
straight,MPC,0.17904694928862483,0.75,7.435173770312269,0.0404952751213397,1.1276499756597673,24.000000000000004,15.96,22.17899999959627,66.58119999883638,1.125
straight,Pure Pursuit,0.17805008821280188,0.75,9.018928358582203,0.0,1.2061985099069843,23.55422229546274,15.8,0.0,0.0,0.0
curve,MPC,0.1760589226005437,0.75,7.361574113567547,0.03132201861100784,1.1306207000858386,21.865370333737182,16.037827920289526,43.40475000026345,68.80679999994754,1.6125
curve,Pure Pursuit,0.17449099340673813,0.75,9.049676572654484,0.0,1.1963476496949526,21.62426651755372,15.865040352098355,0.0,0.0,0.0
