case,completed,collision,lap_time_s,cte_rmse_m,heading_rmse_deg,steering_tv_rad,steering_rms_rad,median_update_ms,p95_update_ms,deadline_miss_pct,mean_iterations,solver_failures,q,q_terminal,r,r_delta
baseline,True,False,23.61000000000089,0.15750416796642086,5.958659086371384,8.135758733533995,0.09149444426329348,59.5813500000002,93.38400000000024,1.694915254237288,2.406779661016949,0,"(4.0, 4.0, 1.0, 2.0)","(8.0, 8.0, 2.0, 4.0)","(0.1, 0.2)","(0.1, 1.0)"
position_2x,True,False,23.550000000000882,0.1482560166156267,5.6294740901930025,9.161227367331309,0.08817290586599827,60.37040000000182,97.51675000000048,3.389830508474576,2.555084745762712,0,"(8.0, 8.0, 1.0, 2.0)","(16.0, 16.0, 2.0, 4.0)","(0.1, 0.2)","(0.1, 1.0)"
heading_2x,True,False,23.61000000000089,0.14394520270011543,4.732104165583826,6.055969102417519,0.08087985581468347,48.49229999999949,92.50420000000226,0.0,2.364406779661017,0,"(4.0, 4.0, 1.0, 4.0)","(8.0, 8.0, 2.0, 8.0)","(0.1, 0.2)","(0.1, 1.0)"
steer_smooth_2x,True,False,23.61000000000089,0.15300970337457,5.205099072061384,6.942495069240482,0.08368247626682596,58.908599999998756,92.97650000000246,0.423728813559322,2.389830508474576,0,"(4.0, 4.0, 1.0, 2.0)","(8.0, 8.0, 2.0, 4.0)","(0.1, 0.2)","(0.1, 2.0)"
steer_smooth_4x,True,False,23.61000000000089,0.14681162262826694,4.776113068070658,5.986900609728053,0.0767314940692856,42.85040000000251,93.22014999998629,0.0,2.3262711864406778,0,"(4.0, 4.0, 1.0, 2.0)","(8.0, 8.0, 2.0, 4.0)","(0.1, 0.2)","(0.1, 4.0)"
steer_effort_2x,True,False,23.61000000000089,0.15808006423175228,5.976119434973237,8.426517024679866,0.09163177350447128,59.335099999991314,93.09319999998777,0.423728813559322,2.4152542372881354,0,"(4.0, 4.0, 1.0, 2.0)","(8.0, 8.0, 2.0, 4.0)","(0.1, 0.4)","(0.1, 1.0)"
balanced,True,False,23.560000000000883,0.15728172794740744,5.718011296467147,7.418604956175989,0.0895105862756746,59.71589999999338,94.00037499999314,0.847457627118644,2.440677966101695,0,"(8.0, 8.0, 1.0, 4.0)","(16.0, 16.0, 2.0, 8.0)","(0.1, 0.2)","(0.1, 2.0)"
balanced_smooth,True,False,23.570000000000885,0.15302880063282245,5.347387433716604,6.342178863685282,0.08276322172234957,58.82834999999886,93.23194999999984,1.694915254237288,2.406779661016949,0,"(8.0, 8.0, 1.0, 4.0)","(16.0, 16.0, 2.0, 8.0)","(0.1, 0.4)","(0.1, 4.0)"
