case,completed,collision,lap_time_s,cte_rmse_m,heading_rmse_deg,steering_tv_rad,steering_rms_rad,median_update_ms,p95_update_ms,deadline_miss_pct,mean_iterations,solver_failures,q,q_terminal,r,r_delta,controller,lookahead_m
mpc_heading_2x,True,False,23.61000000000089,0.14394520270011543,4.732104165583826,6.055969102417519,0.08087985581468347,96.30759999999938,195.7892749999992,44.49152542372881,2.364406779661017,0,"(4.0, 4.0, 1.0, 4.0)","(8.0, 8.0, 2.0, 8.0)","(0.1, 0.2)","(0.1, 1.0)",MPC,not_applicable
pure_pursuit_0.8m,False,True,7.069999999999894,0.12502211732480079,7.972835669422153,2.1751944951394275,0.07786872042019154,0.15409999999960178,0.18260000000047683,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,0.8
pure_pursuit_1.0m,True,False,24.070000000000963,0.12407404467311421,5.7163863676871145,3.9778232422962203,0.0533364152393126,0.1660000000001105,0.2824999999972988,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,1.0
pure_pursuit_1.2m,True,False,24.11000000000097,0.13816548529353434,5.35790802415197,2.5994500432519247,0.04812970680221073,0.17090000000052896,0.3013999999978978,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,1.2
pure_pursuit_1.5m,True,False,24.190000000000982,0.16599505081473637,5.2865132621002235,1.987238846781366,0.04642651997952844,0.173200000002538,0.3401800000030872,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,1.5
pure_pursuit_1.8m,True,False,24.280000000000996,0.20054497415342015,5.328528865190914,1.74982203369207,0.04703921838681647,0.17789999999706652,0.3167199999978718,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,1.8
pure_pursuit_2.2m,False,True,8.899999999999855,0.21673886325217395,5.307338292500733,0.36723227272292097,0.04147691555095081,0.1925999999983219,0.27981999999866486,0.0,0.0,0,not_applicable,not_applicable,not_applicable,not_applicable,Pure Pursuit,2.2
